Department,PI_Name,Total_GPU_Hours_FY2026,Total_CPU_Hours_FY2026,Storage_Used_TB,Peak_Concurrent_GPUs,Avg_Queue_Wait_Min,Avg_Job_Duration_Hr,Total_Jobs,Job_Success_PCT,Satisfaction,Budget_Contribution,_Sheet,Month,Month_Num,GPU_Hours,CPU_Hours,Jobs,Avg_Wait_Min,Peak_GPUs,Storage_Delta_TB,Avg_GPU_Util_PCT,Avg_Mem_Util_PCT,Preempted_Jobs,Failed_Jobs,Energy_kWh,Min_GPUs_Per_Node,Min_GPU_Memory_GB,Min_Network_Gbps,Min_Storage_GBps,Special_Requirements,Preferred_Priority,Files_M,New_Data_TB,Deleted_TB,Avg_File_KB,Software,Avg_Monthly_Sessions,Peak_Concurrent,Avg_Session_Hours,GPU_Hours_Monthly,CPU_Hours_Monthly,Avg_Wait_GPU_Min,Avg_Wait_CPU_Min,P95_Wait_GPU_Min,P99_Wait_GPU_Min,Jobs_Timed_Out,Jobs_Preempted,Category,Avg_Runtime_Hr,Avg_GPU_Util,Avg_Mem_GB,Avg_IB_GBps,Avg_Energy_kWh,Response_ID,Role,Top_Issue,Comment,Date,User_ID,Jobs_Submitted,Jobs_Completed,Jobs_Failed,Max_Wait_Min,GPU_Util_Avg_PCT,Mem_Used_Avg_GB,Storage_Read_GB,Storage_Write_GB,IO_Wait_PCT,Network_GB,Overall_Score,Queue_Wait_Score,Storage_Score,Support_Score,GPU_Avail_Score,Comments,Sessions,Peak_Memory_GB
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ParaView,23.0,18.0,7.0,3900.0,8562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,VMD,5.0,46.0,9.1,522.0,2917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Schrodinger,87.0,24.0,16.7,442.0,6494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,R,67.0,32.0,20.4,2927.0,9513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Jupyter,194.0,9.0,16.9,2362.0,994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,STATA,63.0,14.0,13.3,2010.0,6957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,CUDA Toolkit,107.0,2.0,12.1,3215.0,7908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Intel OneAPI,86.0,1.0,4.3,4833.0,3034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ARM Forge,28.0,12.0,1.2,1403.0,4702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,TotalView,107.0,2.0,9.8,4673.0,1107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,GenomicsToolkit,19.0,28.0,13.7,3966.0,4468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Custom CUDA,198.0,15.0,20.1,4833.0,5992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,MATLAB,23.0,5.0,16.4,777.0,9127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ANSYS,140.0,47.0,4.5,836.0,8816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Gaussian,9.0,18.0,12.0,168.0,9440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,GROMACS,44.0,42.0,20.9,617.0,8593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,VASP,141.0,38.0,23.4,2279.0,9914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,TensorFlow,183.0,18.0,5.6,3706.0,1060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,PyTorch,64.0,12.0,15.3,4714.0,6128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,RELION,196.0,25.0,11.8,56.0,6224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,WRF,38.0,36.0,12.6,1912.0,4321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Mathematica,11.0,34.0,6.6,1680.0,1631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Abaqus,98.0,21.0,12.2,3450.0,7255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,COMSOL,81.0,1.0,1.9,450.0,1843.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,LAMMPS,44.0,41.0,6.6,3051.0,4764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Amber,48.0,17.0,21.8,2640.0,7476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,NAMD,183.0,30.0,22.5,1768.0,8383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,OpenFOAM,73.0,44.0,10.5,620.0,5314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,CP2K,77.0,23.0,19.8,2175.0,5955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Quantum ESPRESSO,184.0,49.0,19.8,3612.0,2957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ParaView,18.0,3.0,4.5,2665.0,3840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,VMD,194.0,28.0,19.5,1074.0,3304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Schrodinger,167.0,41.0,12.9,4833.0,5403.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,R,153.0,27.0,13.1,902.0,4167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Jupyter,47.0,18.0,2.2,489.0,5352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,STATA,172.0,42.0,21.3,2731.0,4091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,CUDA Toolkit,128.0,33.0,13.4,1214.0,4042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Intel OneAPI,9.0,15.0,9.5,4460.0,2477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ARM Forge,156.0,35.0,21.0,4356.0,534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,TotalView,15.0,30.0,3.7,534.0,8672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,GenomicsToolkit,103.0,29.0,6.9,3128.0,5267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Custom CUDA,111.0,18.0,15.9,3616.0,4522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,MATLAB,10.0,24.0,23.2,3115.0,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ANSYS,126.0,6.0,1.2,1328.0,9515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Gaussian,85.0,41.0,13.2,1574.0,2042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,GROMACS,13.0,42.0,15.0,1254.0,1087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,VASP,70.0,12.0,1.7,3901.0,9609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,TensorFlow,92.0,35.0,11.5,357.0,7884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,PyTorch,153.0,32.0,5.3,2228.0,3949.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,RELION,189.0,35.0,9.2,4417.0,7886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,WRF,110.0,47.0,2.1,2283.0,6336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Mathematica,130.0,34.0,19.4,1838.0,8513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Abaqus,118.0,42.0,1.2,3008.0,9276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,COMSOL,97.0,23.0,22.2,2043.0,6385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,LAMMPS,55.0,1.0,2.5,1335.0,7546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Amber,54.0,26.0,7.9,3600.0,7171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,NAMD,93.0,23.0,16.9,1375.0,6397.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,OpenFOAM,161.0,48.0,6.1,3496.0,3572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,CP2K,102.0,14.0,20.4,2358.0,8350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Quantum ESPRESSO,90.0,6.0,6.7,2619.0,9972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ParaView,168.0,2.0,3.0,4277.0,8362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,VMD,44.0,20.0,2.8,1912.0,2830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Schrodinger,44.0,19.0,10.2,266.0,4016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,R,120.0,33.0,18.3,1400.0,2426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Jupyter,177.0,20.0,11.1,2830.0,7553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,STATA,4.0,1.0,19.4,1023.0,3997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,CUDA Toolkit,11.0,24.0,23.6,2075.0,4042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Intel OneAPI,16.0,36.0,20.2,189.0,8837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ARM Forge,38.0,20.0,17.9,4943.0,4966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,TotalView,1.0,44.0,13.4,4798.0,564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,GenomicsToolkit,41.0,21.0,19.3,3468.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Custom CUDA,43.0,25.0,16.7,1904.0,7293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,MATLAB,99.0,28.0,12.2,2809.0,9178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ANSYS,62.0,33.0,0.8,1960.0,2847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Gaussian,137.0,44.0,12.1,3842.0,4805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,GROMACS,97.0,27.0,12.2,3892.0,5983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,VASP,179.0,42.0,15.9,109.0,4658.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,TensorFlow,92.0,3.0,5.1,3328.0,5412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,PyTorch,115.0,6.0,19.1,3889.0,5713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,RELION,80.0,33.0,20.4,4319.0,6061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,WRF,63.0,25.0,18.5,1634.0,2643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Mathematica,186.0,38.0,10.2,2603.0,1091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Abaqus,193.0,45.0,21.7,4152.0,611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,COMSOL,104.0,45.0,22.7,734.0,5778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,LAMMPS,115.0,26.0,14.0,4701.0,1959.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Amber,40.0,36.0,8.4,3175.0,2762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,NAMD,75.0,21.0,23.1,2160.0,1435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,OpenFOAM,57.0,37.0,17.5,2700.0,2231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,CP2K,162.0,36.0,9.3,4024.0,7840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Quantum ESPRESSO,56.0,29.0,15.2,2701.0,9767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ParaView,102.0,7.0,3.5,668.0,2228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,VMD,100.0,19.0,3.9,748.0,4320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Schrodinger,2.0,20.0,23.0,951.0,1981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,R,180.0,25.0,23.3,1776.0,7277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Jupyter,187.0,25.0,20.8,459.0,9376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,STATA,58.0,44.0,20.5,1275.0,9722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,CUDA Toolkit,125.0,17.0,8.9,1821.0,6531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Intel OneAPI,20.0,38.0,16.6,3619.0,6664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ARM Forge,62.0,22.0,7.8,2524.0,789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,TotalView,52.0,17.0,14.6,118.0,5401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,GenomicsToolkit,138.0,25.0,19.0,496.0,4274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Custom CUDA,59.0,27.0,1.5,3132.0,1753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Research,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,MATLAB,79.0,45.0,9.1,243.0,2355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Research,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ANSYS,88.0,23.0,22.1,2692.0,6173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Research,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Gaussian,39.0,48.0,5.6,19.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Research,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,GROMACS,81.0,19.0,15.8,250.0,7928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Research,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,VASP,175.0,35.0,11.3,4741.0,9160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Research,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,TensorFlow,151.0,44.0,19.3,1169.0,5457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Research,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,PyTorch,168.0,48.0,15.8,1983.0,4022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Research,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,RELION,94.0,38.0,20.9,1789.0,6501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Research,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,WRF,73.0,35.0,2.9,1342.0,4290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Research,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Mathematica,45.0,37.0,9.0,2447.0,4885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Research,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Abaqus,142.0,33.0,9.6,4756.0,6125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Research,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,COMSOL,32.0,6.0,7.5,4400.0,8817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Research,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,LAMMPS,151.0,39.0,12.3,4968.0,6166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Research,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Amber,25.0,24.0,20.8,1987.0,4167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Research,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,NAMD,9.0,28.0,17.2,2549.0,3834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Research,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,OpenFOAM,149.0,26.0,22.0,2050.0,5830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Research,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,CP2K,7.0,27.0,9.3,3843.0,4925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Research,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Quantum ESPRESSO,190.0,8.0,22.8,1982.0,5355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
