Record_Type,Category,Subcategory,Fiscal_Year,Month,Month_Num,Budgeted_Amount,Actual_Amount,Variance,Variance_PCT,Accrued,Committed,Encumbered,GL_Account,Cost_Center,Fund_Code,PO_Number,Invoice_Number,Approval_Status,Notes
Grant_Usage,Research Grant,G-0002 (AFOSR),FY2026,Oct,10,11417.41,7323.9,0.0,0.0,0.0,0.0,0.0,58944,CC-COMP-182,F-AFO-1609,,Internal Allocation,Allocated,"GPU_Hours=2431,CPU_Hours=9879,Storage_TB=8.79,Department=Computer Science"
Grant_Usage,Research Grant,G-0003 (DARPA),FY2026,Jul,7,19848.75,7397.4,0.0,0.0,0.0,0.0,0.0,50946,CC-PHYS-185,F-DAR-7258,,Internal Allocation,Allocated,"GPU_Hours=2249,CPU_Hours=10707,Storage_TB=21.95,Department=Physics"
Grant_Usage,Research Grant,G-0004 (NASA),FY2026,May,5,9380.38,21571.5,0.0,0.0,0.0,0.0,0.0,57279,CC-COMP-144,F-NAS-3240,,Internal Allocation,Allocated,"GPU_Hours=7178,CPU_Hours=9586,Storage_TB=24.76,Department=Computer Science"
Grant_Usage,Research Grant,G-0005 (ONR),FY2026,Feb,2,5503.02,1287.15,0.0,0.0,0.0,0.0,0.0,53758,CC-MEDI-124,F-ONR-1778,,Internal Allocation,Allocated,"GPU_Hours=274,CPU_Hours=13783,Storage_TB=11.25,Department=Medical Research"
Grant_Usage,Research Grant,G-0005 (ONR),FY2026,Dec,12,5503.02,15355.8,0.0,0.0,0.0,0.0,0.0,58378,CC-MEDI-140,F-ONR-7203,,Internal Allocation,Allocated,"GPU_Hours=5013,CPU_Hours=14448,Storage_TB=23.75,Department=Medical Research"
Grant_Usage,Research Grant,G-0006 (DARPA),FY2026,Sep,9,9903.59,12746.85,0.0,0.0,0.0,0.0,0.0,56281,CC-BIOL-134,F-DAR-5729,,Internal Allocation,Allocated,"GPU_Hours=4378,CPU_Hours=2081,Storage_TB=5.99,Department=Biology"
Grant_Usage,Research Grant,G-0007 (DOE),FY2026,Jul,7,19847.27,6820.95,0.0,0.0,0.0,0.0,0.0,50888,CC-EART-121,F-DOE-7853,,Internal Allocation,Allocated,"GPU_Hours=2279,CPU_Hours=1318,Storage_TB=7.24,Department=Earth Sciences"
Grant_Usage,Research Grant,G-0008 (NASA),FY2026,Apr,4,7063.36,1422.0,0.0,0.0,0.0,0.0,0.0,57871,CC-ENGI-112,F-NAS-9794,,Internal Allocation,Allocated,"GPU_Hours=117,CPU_Hours=3160,Storage_TB=24.19,Department=Engineering"
Grant_Usage,Research Grant,G-0009 (Private),FY2026,Feb,2,27532.0,22003.2,0.0,0.0,0.0,0.0,0.0,52400,CC-PHYS-187,F-Pri-9344,,Internal Allocation,Allocated,"GPU_Hours=7650,CPU_Hours=2583,Storage_TB=4.46,Department=Physics"
Grant_Usage,Research Grant,G-0009 (Private),FY2026,Nov,11,27532.0,11173.2,0.0,0.0,0.0,0.0,0.0,54167,CC-PHYS-112,F-Pri-8260,,Internal Allocation,Allocated,"GPU_Hours=3640,CPU_Hours=10284,Storage_TB=17.76,Department=Physics"
Grant_Usage,Research Grant,G-0010 (NIH),FY2026,Sep,9,22174.18,11216.4,0.0,0.0,0.0,0.0,0.0,55533,CC-PHYS-124,F-NIH-2498,,Internal Allocation,Allocated,"GPU_Hours=3574,CPU_Hours=448,Storage_TB=22.9,Department=Physics"
Grant_Usage,Research Grant,G-0011 (ONR),FY2026,Jun,6,4778.13,5900.85,0.0,0.0,0.0,0.0,0.0,50763,CC-PHYS-113,F-ONR-2552,,Internal Allocation,Allocated,"GPU_Hours=2064,CPU_Hours=5396,Storage_TB=0.41,Department=Physics"
Grant_Usage,Research Grant,G-0012 (NASA),FY2026,Apr,4,20082.8,13961.4,0.0,0.0,0.0,0.0,0.0,50773,CC-EART-173,F-NAS-3699,,Internal Allocation,Allocated,"GPU_Hours=4786,CPU_Hours=8699,Storage_TB=7.14,Department=Earth Sciences"
Grant_Usage,Research Grant,G-0013 (NASA),FY2026,Jan,1,3001.5,12958.05,0.0,0.0,0.0,0.0,0.0,59840,CC-ENGI-178,F-NAS-8145,,Internal Allocation,Allocated,"GPU_Hours=4184,CPU_Hours=862,Storage_TB=22.97,Department=Engineering"
Grant_Usage,Research Grant,G-0013 (NASA),FY2026,Oct,10,3001.5,5608.05,0.0,0.0,0.0,0.0,0.0,51856,CC-ENGI-135,F-NAS-5875,,Internal Allocation,Allocated,"GPU_Hours=1903,CPU_Hours=2875,Storage_TB=4.1,Department=Engineering"
Grant_Usage,Research Grant,G-0014 (DOE),FY2026,Aug,8,83024.94,12044.7,0.0,0.0,0.0,0.0,0.0,54825,CC-BIOL-123,F-DOE-8350,,Internal Allocation,Allocated,"GPU_Hours=4038,CPU_Hours=5391,Storage_TB=11.92,Department=Biology"
Grant_Usage,Research Grant,G-0015 (DARPA),FY2026,May,5,3680.84,20670.45,0.0,0.0,0.0,0.0,0.0,55764,CC-ENGI-118,F-DAR-1376,,Internal Allocation,Allocated,"GPU_Hours=6964,CPU_Hours=14272,Storage_TB=18.29,Department=Engineering"
Grant_Usage,Research Grant,G-0016 (AFOSR),FY2026,Mar,3,3917.31,14760.15,0.0,0.0,0.0,0.0,0.0,55044,CC-MEDI-193,F-AFO-3248,,Internal Allocation,Allocated,"GPU_Hours=4993,CPU_Hours=6935,Storage_TB=11.78,Department=Medical Research"
Grant_Usage,Research Grant,G-0016 (AFOSR),FY2026,Dec,12,3917.31,17201.55,0.0,0.0,0.0,0.0,0.0,55295,CC-MEDI-197,F-AFO-6422,,Internal Allocation,Allocated,"GPU_Hours=5924,CPU_Hours=11865,Storage_TB=7.07,Department=Medical Research"
Grant_Usage,Research Grant,G-0017 (NSF),FY2026,Oct,10,11945.52,4147.35,0.0,0.0,0.0,0.0,0.0,54032,CC-BIOL-133,F-NSF-9918,,Internal Allocation,Allocated,"GPU_Hours=1099,CPU_Hours=6619,Storage_TB=22.56,Department=Biology"
Grant_Usage,Research Grant,G-0018 (NSF),FY2026,Jul,7,2051.68,2646.6,0.0,0.0,0.0,0.0,0.0,52455,CC-BIOL-193,F-NSF-2859,,Internal Allocation,Allocated,"GPU_Hours=778,CPU_Hours=11945,Storage_TB=9.54,Department=Biology"
Grant_Usage,Research Grant,G-0019 (AFOSR),FY2026,May,5,30145.54,15002.25,0.0,0.0,0.0,0.0,0.0,54256,CC-PHYS-184,F-AFO-5034,,Internal Allocation,Allocated,"GPU_Hours=4966,CPU_Hours=1838,Storage_TB=18.87,Department=Physics"
Grant_Usage,Research Grant,G-0020 (NIH),FY2026,Feb,2,9388.67,10281.3,0.0,0.0,0.0,0.0,0.0,56134,CC-PHYS-173,F-NIH-1405,,Internal Allocation,Allocated,"GPU_Hours=3286,CPU_Hours=14356,Storage_TB=20.36,Department=Physics"
Grant_Usage,Research Grant,G-0020 (NIH),FY2026,Dec,12,9388.67,4053.0,0.0,0.0,0.0,0.0,0.0,53345,CC-PHYS-178,F-NIH-2957,,Internal Allocation,Allocated,"GPU_Hours=1094,CPU_Hours=2489,Storage_TB=20.78,Department=Physics"
Grant_Usage,Research Grant,G-0021 (ONR),FY2026,Sep,9,7293.31,13170.45,0.0,0.0,0.0,0.0,0.0,53284,CC-MEDI-134,F-ONR-1033,,Internal Allocation,Allocated,"GPU_Hours=4247,CPU_Hours=7921,Storage_TB=23.7,Department=Medical Research"
Grant_Usage,Research Grant,G-0022 (DOE),FY2026,Jul,7,29074.96,6561.45,0.0,0.0,0.0,0.0,0.0,50992,CC-BIOL-119,F-DOE-3716,,Internal Allocation,Allocated,"GPU_Hours=2292,CPU_Hours=9700,Storage_TB=0.65,Department=Biology"
Grant_Usage,Research Grant,G-0023 (DARPA),FY2026,Apr,4,7691.89,12693.9,0.0,0.0,0.0,0.0,0.0,57302,CC-MATH-115,F-DAR-3171,,Internal Allocation,Allocated,"GPU_Hours=4307,CPU_Hours=7602,Storage_TB=9.31,Department=Mathematics"
Grant_Usage,Research Grant,G-0024 (NASA),FY2026,Feb,2,2184.03,23024.1,0.0,0.0,0.0,0.0,0.0,55539,CC-ENGI-192,F-NAS-8624,,Internal Allocation,Allocated,"GPU_Hours=7703,CPU_Hours=7945,Storage_TB=23.79,Department=Engineering"
Grant_Usage,Research Grant,G-0024 (NASA),FY2026,Nov,11,2184.03,9091.8,0.0,0.0,0.0,0.0,0.0,55223,CC-ENGI-168,F-NAS-1201,,Internal Allocation,Allocated,"GPU_Hours=2910,CPU_Hours=7833,Storage_TB=17.74,Department=Engineering"
Grant_Usage,Research Grant,G-0025 (ONR),FY2026,Sep,9,11488.2,6945.6,0.0,0.0,0.0,0.0,0.0,58899,CC-MEDI-120,F-ONR-5472,,Internal Allocation,Allocated,"GPU_Hours=2150,CPU_Hours=13048,Storage_TB=18.18,Department=Medical Research"
Grant_Usage,Research Grant,G-0026 (AFOSR),FY2026,Jun,6,5319.98,9106.65,0.0,0.0,0.0,0.0,0.0,53114,CC-MATH-126,F-AFO-5703,,Internal Allocation,Allocated,"GPU_Hours=3192,CPU_Hours=8504,Storage_TB=0.21,Department=Mathematics"
Grant_Usage,Research Grant,G-0027 (NSF),FY2026,Apr,4,10914.11,17174.85,0.0,0.0,0.0,0.0,0.0,53461,CC-MEDI-135,F-NSF-4135,,Internal Allocation,Allocated,"GPU_Hours=5653,CPU_Hours=1973,Storage_TB=23.64,Department=Medical Research"
Grant_Usage,Research Grant,G-0028 (NSF),FY2026,Jan,1,3098.14,18086.1,0.0,0.0,0.0,0.0,0.0,53214,CC-COMP-165,F-NSF-8368,,Internal Allocation,Allocated,"GPU_Hours=6055,CPU_Hours=1693,Storage_TB=18.43,Department=Computer Science"
Grant_Usage,Research Grant,G-0028 (NSF),FY2026,Nov,11,3098.14,16216.05,0.0,0.0,0.0,0.0,0.0,58510,CC-COMP-176,F-NSF-9128,,Internal Allocation,Allocated,"GPU_Hours=5408,CPU_Hours=6521,Storage_TB=17.85,Department=Computer Science"
Grant_Usage,Research Grant,G-0029 (ONR),FY2026,Aug,8,30603.95,18320.25,0.0,0.0,0.0,0.0,0.0,50648,CC-BIOL-152,F-ONR-1562,,Internal Allocation,Allocated,"GPU_Hours=6389,CPU_Hours=4035,Storage_TB=2.48,Department=Biology"
Grant_Usage,Research Grant,G-0030 (NASA),FY2026,May,5,9500.88,3956.25,0.0,0.0,0.0,0.0,0.0,55227,CC-MEDI-154,F-NAS-8999,,Internal Allocation,Allocated,"GPU_Hours=1094,CPU_Hours=10888,Storage_TB=18.63,Department=Medical Research"
Grant_Usage,Research Grant,G-0031 (AFOSR),FY2026,Mar,3,15947.27,13575.15,0.0,0.0,0.0,0.0,0.0,57321,CC-MEDI-192,F-AFO-2846,,Internal Allocation,Allocated,"GPU_Hours=4434,CPU_Hours=14615,Storage_TB=20.85,Department=Medical Research"
Grant_Usage,Research Grant,G-0031 (AFOSR),FY2026,Dec,12,15947.27,15422.1,0.0,0.0,0.0,0.0,0.0,51884,CC-MEDI-173,F-AFO-4216,,Internal Allocation,Allocated,"GPU_Hours=5260,CPU_Hours=7018,Storage_TB=9.58,Department=Medical Research"
Grant_Usage,Research Grant,G-0032 (AFOSR),FY2026,Oct,10,10337.07,11448.0,0.0,0.0,0.0,0.0,0.0,50267,CC-EART-167,F-AFO-5324,,Internal Allocation,Allocated,"GPU_Hours=3813,CPU_Hours=10503,Storage_TB=12.91,Department=Earth Sciences"
Grant_Usage,Research Grant,G-0033 (DARPA),FY2026,Jul,7,4231.01,4819.95,0.0,0.0,0.0,0.0,0.0,53983,CC-EART-179,F-DAR-2606,,Internal Allocation,Allocated,"GPU_Hours=1551,CPU_Hours=8674,Storage_TB=8.88,Department=Earth Sciences"
Grant_Usage,Research Grant,G-0034 (DOE),FY2026,May,5,4063.0,22758.75,0.0,0.0,0.0,0.0,0.0,57648,CC-MEDI-188,F-DOE-6286,,Internal Allocation,Allocated,"GPU_Hours=7926,CPU_Hours=1774,Storage_TB=3.77,Department=Medical Research"
Grant_Usage,Research Grant,G-0035 (NSF),FY2026,Feb,2,29920.5,2266.95,0.0,0.0,0.0,0.0,0.0,51268,CC-MEDI-175,F-NSF-1734,,Internal Allocation,Allocated,"GPU_Hours=404,CPU_Hours=251,Storage_TB=24.79,Department=Medical Research"
Grant_Usage,Research Grant,G-0035 (NSF),FY2026,Dec,12,29920.5,6931.95,0.0,0.0,0.0,0.0,0.0,53063,CC-MEDI-121,F-NSF-7634,,Internal Allocation,Allocated,"GPU_Hours=2365,CPU_Hours=13578,Storage_TB=4.26,Department=Medical Research"
Grant_Usage,Research Grant,G-0036 (DOE),FY2026,Sep,9,18081.38,14938.65,0.0,0.0,0.0,0.0,0.0,52719,CC-CHEM-187,F-DOE-6451,,Internal Allocation,Allocated,"GPU_Hours=5217,CPU_Hours=10690,Storage_TB=1.56,Department=Chemistry"
Grant_Usage,Research Grant,G-0037 (ONR),FY2026,Jul,7,16418.3,21558.6,0.0,0.0,0.0,0.0,0.0,59239,CC-EART-177,F-ONR-7821,,Internal Allocation,Allocated,"GPU_Hours=7389,CPU_Hours=229,Storage_TB=11.11,Department=Earth Sciences"
Grant_Usage,Research Grant,G-0038 (Private),FY2026,Apr,4,68493.02,2986.05,0.0,0.0,0.0,0.0,0.0,59706,CC-PHYS-133,F-Pri-4912,,Internal Allocation,Allocated,"GPU_Hours=665,CPU_Hours=10366,Storage_TB=24.24,Department=Physics"
Grant_Usage,Research Grant,G-0039 (ONR),FY2026,Feb,2,3678.93,23251.05,0.0,0.0,0.0,0.0,0.0,51645,CC-BIOL-109,F-ONR-3479,,Internal Allocation,Allocated,"GPU_Hours=7788,CPU_Hours=13680,Storage_TB=23.45,Department=Biology"
Grant_Usage,Research Grant,G-0039 (ONR),FY2026,Nov,11,3678.93,14074.05,0.0,0.0,0.0,0.0,0.0,58502,CC-BIOL-113,F-ONR-5605,,Internal Allocation,Allocated,"GPU_Hours=4601,CPU_Hours=9875,Storage_TB=21.36,Department=Biology"
Grant_Usage,Research Grant,G-0040 (Private),FY2026,Sep,9,1149.17,8306.7,0.0,0.0,0.0,0.0,0.0,54559,CC-MATH-123,F-Pri-5061,,Internal Allocation,Allocated,"GPU_Hours=2617,CPU_Hours=10175,Storage_TB=18.85,Department=Mathematics"
Grant_Usage,Research Grant,G-0041 (DOE),FY2026,Jun,6,10299.74,4025.85,0.0,0.0,0.0,0.0,0.0,53761,CC-EART-138,F-DOE-8043,,Internal Allocation,Allocated,"GPU_Hours=1264,CPU_Hours=14269,Storage_TB=9.41,Department=Earth Sciences"
Grant_Usage,Research Grant,G-0042 (DOE),FY2026,Apr,4,11293.07,11148.0,0.0,0.0,0.0,0.0,0.0,52721,CC-MEDI-136,F-DOE-4300,,Internal Allocation,Allocated,"GPU_Hours=3859,CPU_Hours=7497,Storage_TB=3.33,Department=Medical Research"
Grant_Usage,Research Grant,G-0043 (ONR),FY2026,Jan,1,15076.65,21025.2,0.0,0.0,0.0,0.0,0.0,51792,CC-PHYS-125,F-ONR-3145,,Internal Allocation,Allocated,"GPU_Hours=7349,CPU_Hours=3212,Storage_TB=1.79,Department=Physics"
Grant_Usage,Research Grant,G-0043 (ONR),FY2026,Nov,11,15076.65,12020.4,0.0,0.0,0.0,0.0,0.0,58495,CC-PHYS-150,F-ONR-2957,,Internal Allocation,Allocated,"GPU_Hours=3984,CPU_Hours=10707,Storage_TB=14.8,Department=Physics"
Grant_Usage,Research Grant,G-0044 (NIH),FY2026,Aug,8,32873.49,14773.95,0.0,0.0,0.0,0.0,0.0,50266,CC-MEDI-194,F-NIH-2518,,Internal Allocation,Allocated,"GPU_Hours=5082,CPU_Hours=10982,Storage_TB=6.45,Department=Medical Research"
Grant_Usage,Research Grant,G-0045 (AFOSR),FY2026,Jun,6,44692.12,19419.6,0.0,0.0,0.0,0.0,0.0,59963,CC-PHYS-170,F-AFO-6878,,Internal Allocation,Allocated,"GPU_Hours=6608,CPU_Hours=13365,Storage_TB=13.04,Department=Physics"
Grant_Usage,Research Grant,G-0046 (DOE),FY2026,Mar,3,18558.72,11690.85,0.0,0.0,0.0,0.0,0.0,59018,CC-ENGI-110,F-DOE-8731,,Internal Allocation,Allocated,"GPU_Hours=3914,CPU_Hours=9838,Storage_TB=11.91,Department=Engineering"
Grant_Usage,Research Grant,G-0047 (ONR),FY2026,Jan,1,1346.84,9598.95,0.0,0.0,0.0,0.0,0.0,58143,CC-ENGI-185,F-ONR-9703,,Internal Allocation,Allocated,"GPU_Hours=3312,CPU_Hours=10465,Storage_TB=3.55,Department=Engineering"
Grant_Usage,Research Grant,G-0047 (ONR),FY2026,Oct,10,1346.84,10237.35,0.0,0.0,0.0,0.0,0.0,50166,CC-ENGI-122,F-ONR-5520,,Internal Allocation,Allocated,"GPU_Hours=3536,CPU_Hours=5226,Storage_TB=3.55,Department=Engineering"
Grant_Usage,Research Grant,G-0048 (Private),FY2026,Jul,7,81613.1,13781.4,0.0,0.0,0.0,0.0,0.0,50911,CC-BIOL-167,F-Pri-5515,,Internal Allocation,Allocated,"GPU_Hours=4465,CPU_Hours=2330,Storage_TB=23.47,Department=Biology"
Grant_Usage,Research Grant,G-0049 (NASA),FY2026,May,5,2443.53,9110.4,0.0,0.0,0.0,0.0,0.0,52848,CC-ENGI-155,F-NAS-8299,,Internal Allocation,Allocated,"GPU_Hours=2908,CPU_Hours=6191,Storage_TB=18.28,Department=Engineering"
Grant_Usage,Research Grant,G-0050 (NASA),FY2026,Feb,2,2968.13,4415.4,0.0,0.0,0.0,0.0,0.0,55890,CC-ENGI-147,F-NAS-7413,,Internal Allocation,Allocated,"GPU_Hours=1470,CPU_Hours=3922,Storage_TB=5.02,Department=Engineering"
Grant_Usage,Research Grant,G-0050 (NASA),FY2026,Dec,12,2968.13,3918.75,0.0,0.0,0.0,0.0,0.0,58896,CC-ENGI-154,F-NAS-5737,,Internal Allocation,Allocated,"GPU_Hours=1144,CPU_Hours=982,Storage_TB=14.63,Department=Engineering"
Grant_Usage,Research Grant,G-0051 (DARPA),FY2026,Sep,9,14299.49,3545.4,0.0,0.0,0.0,0.0,0.0,55522,CC-MEDI-118,F-DAR-9838,,Internal Allocation,Allocated,"GPU_Hours=1097,CPU_Hours=7379,Storage_TB=9.31,Department=Medical Research"
Grant_Usage,Research Grant,G-0052 (Private),FY2026,Jul,7,8286.62,9126.75,0.0,0.0,0.0,0.0,0.0,51172,CC-ENGI-129,F-Pri-1450,,Internal Allocation,Allocated,"GPU_Hours=2996,CPU_Hours=5168,Storage_TB=13.07,Department=Engineering"
Grant_Usage,Research Grant,G-0053 (Private),FY2026,Apr,4,24280.26,14727.9,0.0,0.0,0.0,0.0,0.0,55475,CC-EART-155,F-Pri-4436,,Internal Allocation,Allocated,"GPU_Hours=4967,CPU_Hours=6580,Storage_TB=12.71,Department=Earth Sciences"
Grant_Usage,Research Grant,G-0054 (DOE),FY2026,Feb,2,7211.73,20185.2,0.0,0.0,0.0,0.0,0.0,52509,CC-ENGI-180,F-DOE-3491,,Internal Allocation,Allocated,"GPU_Hours=7077,CPU_Hours=5112,Storage_TB=0.35,Department=Engineering"
Grant_Usage,Research Grant,G-0054 (DOE),FY2026,Nov,11,7211.73,12436.5,0.0,0.0,0.0,0.0,0.0,55532,CC-ENGI-195,F-DOE-8425,,Internal Allocation,Allocated,"GPU_Hours=4052,CPU_Hours=12488,Storage_TB=19.74,Department=Engineering"
Grant_Usage,Research Grant,G-0055 (AFOSR),FY2026,Sep,9,1164.03,2387.4,0.0,0.0,0.0,0.0,0.0,55037,CC-EART-125,F-AFO-4217,,Internal Allocation,Allocated,"GPU_Hours=517,CPU_Hours=8840,Storage_TB=20.31,Department=Earth Sciences"
Grant_Usage,Research Grant,G-0056 (DARPA),FY2026,Jun,6,45016.38,22426.65,0.0,0.0,0.0,0.0,0.0,55769,CC-MATH-151,F-DAR-6522,,Internal Allocation,Allocated,"GPU_Hours=7569,CPU_Hours=5363,Storage_TB=19.0,Department=Mathematics"
Grant_Usage,Research Grant,G-0057 (Private),FY2026,Apr,4,66337.7,15863.7,0.0,0.0,0.0,0.0,0.0,51179,CC-MEDI-180,F-Pri-5253,,Internal Allocation,Allocated,"GPU_Hours=5348,CPU_Hours=14083,Storage_TB=13.82,Department=Medical Research"
Grant_Usage,Research Grant,G-0058 (Private),FY2026,Jan,1,1899.09,19920.0,0.0,0.0,0.0,0.0,0.0,50137,CC-EART-132,F-Pri-2168,,Internal Allocation,Allocated,"GPU_Hours=6857,CPU_Hours=13884,Storage_TB=8.39,Department=Earth Sciences"
Grant_Usage,Research Grant,G-0058 (Private),FY2026,Nov,11,1899.09,13688.4,0.0,0.0,0.0,0.0,0.0,55416,CC-EART-135,F-Pri-7941,,Internal Allocation,Allocated,"GPU_Hours=4745,CPU_Hours=8715,Storage_TB=3.67,Department=Earth Sciences"
Grant_Usage,Research Grant,G-0059 (NASA),FY2026,Aug,8,4730.34,4052.1,0.0,0.0,0.0,0.0,0.0,58276,CC-PHYS-191,F-NAS-7863,,Internal Allocation,Allocated,"GPU_Hours=1100,CPU_Hours=12862,Storage_TB=20.38,Department=Physics"
Grant_Usage,Research Grant,G-0060 (Private),FY2026,Jun,6,2572.7,3231.6,0.0,0.0,0.0,0.0,0.0,59154,CC-BIOL-152,F-Pri-3655,,Internal Allocation,Allocated,"GPU_Hours=742,CPU_Hours=6838,Storage_TB=24.82,Department=Biology"
Grant_Usage,Research Grant,G-0061 (AFOSR),FY2026,Mar,3,7111.17,19323.9,0.0,0.0,0.0,0.0,0.0,55594,CC-COMP-110,F-AFO-2298,,Internal Allocation,Allocated,"GPU_Hours=6687,CPU_Hours=12780,Storage_TB=5.91,Department=Computer Science"
Grant_Usage,Research Grant,G-0062 (Private),FY2026,Jan,1,3212.82,18565.95,0.0,0.0,0.0,0.0,0.0,58318,CC-BIOL-181,F-Pri-4526,,Internal Allocation,Allocated,"GPU_Hours=6278,CPU_Hours=3171,Storage_TB=14.97,Department=Biology"
Grant_Usage,Research Grant,G-0062 (Private),FY2026,Oct,10,3212.82,9873.75,0.0,0.0,0.0,0.0,0.0,52204,CC-BIOL-146,F-Pri-3220,,Internal Allocation,Allocated,"GPU_Hours=3329,CPU_Hours=5543,Storage_TB=8.58,Department=Biology"
Grant_Usage,Research Grant,G-0063 (NSF),FY2026,Aug,8,1105.68,12684.45,0.0,0.0,0.0,0.0,0.0,58041,CC-COMP-164,F-NSF-8043,,Internal Allocation,Allocated,"GPU_Hours=4322,CPU_Hours=409,Storage_TB=8.15,Department=Computer Science"
Grant_Usage,Research Grant,G-0064 (Private),FY2026,May,5,6626.94,4597.2,0.0,0.0,0.0,0.0,0.0,54497,CC-MEDI-169,F-Pri-8593,,Internal Allocation,Allocated,"GPU_Hours=1383,CPU_Hours=5643,Storage_TB=14.57,Department=Medical Research"
Grant_Usage,Research Grant,G-0065 (DARPA),FY2026,Feb,2,12407.91,21075.0,0.0,0.0,0.0,0.0,0.0,59316,CC-CHEM-195,F-DAR-8882,,Internal Allocation,Allocated,"GPU_Hours=7072,CPU_Hours=10653,Storage_TB=20.44,Department=Chemistry"
Grant_Usage,Research Grant,G-0065 (DARPA),FY2026,Dec,12,12407.91,19009.35,0.0,0.0,0.0,0.0,0.0,52797,CC-CHEM-197,F-DAR-2620,,Internal Allocation,Allocated,"GPU_Hours=6387,CPU_Hours=11708,Storage_TB=17.92,Department=Chemistry"
Grant_Usage,Research Grant,G-0066 (Private),FY2026,Sep,9,9982.71,14224.2,0.0,0.0,0.0,0.0,0.0,54219,CC-MATH-169,F-Pri-1489,,Internal Allocation,Allocated,"GPU_Hours=4978,CPU_Hours=12980,Storage_TB=0.82,Department=Mathematics"
Grant_Usage,Research Grant,G-0067 (DARPA),FY2026,Jul,7,21583.18,23029.2,0.0,0.0,0.0,0.0,0.0,57818,CC-BIOL-143,F-DAR-1129,,Internal Allocation,Allocated,"GPU_Hours=7989,CPU_Hours=13836,Storage_TB=5.79,Department=Biology"
Grant_Usage,Research Grant,G-0068 (ONR),FY2026,Apr,4,38231.98,17073.6,0.0,0.0,0.0,0.0,0.0,59206,CC-BIOL-190,F-ONR-1189,,Internal Allocation,Allocated,"GPU_Hours=5947,CPU_Hours=8594,Storage_TB=2.77,Department=Biology"
Grant_Usage,Research Grant,G-0069 (Private),FY2026,Feb,2,5177.74,8864.25,0.0,0.0,0.0,0.0,0.0,56982,CC-MEDI-142,F-Pri-6942,,Internal Allocation,Allocated,"GPU_Hours=3007,CPU_Hours=12059,Storage_TB=6.54,Department=Medical Research"
Grant_Usage,Research Grant,G-0069 (Private),FY2026,Nov,11,5177.74,12149.85,0.0,0.0,0.0,0.0,0.0,55743,CC-MEDI-117,F-Pri-7836,,Internal Allocation,Allocated,"GPU_Hours=3962,CPU_Hours=13948,Storage_TB=19.07,Department=Medical Research"
Grant_Usage,Research Grant,G-0070 (DOE),FY2026,Sep,9,53805.29,7331.7,0.0,0.0,0.0,0.0,0.0,59961,CC-CHEM-100,F-DOE-8320,,Internal Allocation,Allocated,"GPU_Hours=2543,CPU_Hours=9985,Storage_TB=1.87,Department=Chemistry"
Grant_Usage,Research Grant,G-0071 (AFOSR),FY2026,Jun,6,12763.21,16126.5,0.0,0.0,0.0,0.0,0.0,51802,CC-MEDI-145,F-AFO-9798,,Internal Allocation,Allocated,"GPU_Hours=5414,CPU_Hours=1242,Storage_TB=15.48,Department=Medical Research"
Grant_Usage,Research Grant,G-0072 (DARPA),FY2026,Apr,4,81479.44,13324.35,0.0,0.0,0.0,0.0,0.0,52566,CC-CHEM-105,F-DAR-4379,,Internal Allocation,Allocated,"GPU_Hours=4616,CPU_Hours=3814,Storage_TB=3.75,Department=Chemistry"
Grant_Usage,Research Grant,G-0073 (Private),FY2026,Jan,1,4208.26,16779.6,0.0,0.0,0.0,0.0,0.0,54907,CC-COMP-170,F-Pri-9423,,Internal Allocation,Allocated,"GPU_Hours=5517,CPU_Hours=4471,Storage_TB=23.47,Department=Computer Science"
Grant_Usage,Research Grant,G-0073 (Private),FY2026,Nov,11,4208.26,19393.35,0.0,0.0,0.0,0.0,0.0,54257,CC-COMP-106,F-Pri-9497,,Internal Allocation,Allocated,"GPU_Hours=6694,CPU_Hours=3654,Storage_TB=7.01,Department=Computer Science"
Grant_Usage,Research Grant,G-0074 (DOE),FY2026,Aug,8,60429.45,10719.15,0.0,0.0,0.0,0.0,0.0,50186,CC-BIOL-113,F-DOE-1362,,Internal Allocation,Allocated,"GPU_Hours=3607,CPU_Hours=3783,Storage_TB=9.76,Department=Biology"
Grant_Usage,Research Grant,G-0075 (DARPA),FY2026,Jun,6,4675.53,9623.4,0.0,0.0,0.0,0.0,0.0,52809,CC-CHEM-189,F-DAR-2146,,Internal Allocation,Allocated,"GPU_Hours=3040,CPU_Hours=14867,Storage_TB=21.32,Department=Chemistry"
Grant_Usage,Research Grant,G-0076 (NSF),FY2026,Mar,3,7644.19,7833.9,0.0,0.0,0.0,0.0,0.0,57838,CC-MEDI-111,F-NSF-9473,,Internal Allocation,Allocated,"GPU_Hours=2456,CPU_Hours=1811,Storage_TB=18.54,Department=Medical Research"
Grant_Usage,Research Grant,G-0077 (NASA),FY2026,Jan,1,8985.4,14876.1,0.0,0.0,0.0,0.0,0.0,54664,CC-BIOL-196,F-NAS-5443,,Internal Allocation,Allocated,"GPU_Hours=5133,CPU_Hours=3577,Storage_TB=5.49,Department=Biology"
Grant_Usage,Research Grant,G-0077 (NASA),FY2026,Oct,10,8985.4,20863.5,0.0,0.0,0.0,0.0,0.0,59246,CC-BIOL-159,F-NAS-1517,,Internal Allocation,Allocated,"GPU_Hours=6985,CPU_Hours=3442,Storage_TB=21.25,Department=Biology"
